id-mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
844049,2022,OCTUBRE,MIERCOLES,2022-10-12,8.0,Vialidad,Lesiones por siniestros viales,NO,NO,RETIRO,1.0,-34.590383,-58.370998,1
67448,2022,SEPTIEMBRE,MARTES,2022-09-06,8.0,Robo,Robo total,NO,NO,PARQUE PATRICIOS,4.0,-34.634894,-58.41059,1
13943,2022,FEBRERO,JUEVES,2022-02-03,6.0,Robo,Robo total,NO,NO,PALERMO,14.0,-34.578633,-58.423702,1
16750,2022,MAYO,MARTES,2022-05-24,17.0,Hurto,Hurto total,NO,NO,BOEDO,5.0,-34.625662,-58.417686,1
23910,2022,NOVIEMBRE,DOMINGO,2022-11-20,14.0,Robo,Robo total,NO,NO,CABALLITO,6.0,-34.624376,-58.440629,1
14192,2022,DICIEMBRE,SABADO,2022-12-31,7.0,Robo,Robo total,NO,NO,BELGRANO,13.0,-34.555947,-58.450219,1
108499,2022,DICIEMBRE,MIERCOLES,2022-12-07,5.0,Robo,Robo total,NO,NO,PARQUE AVELLANEDA,9.0,-34.656144,-58.473755,1
12027,2022,JUNIO,MIERCOLES,2022-06-08,11.0,Hurto,Hurto total,NO,NO,RETIRO,1.0,-34.596259,-58.386016,1
64256,2022,NOVIEMBRE,JUEVES,2022-11-10,15.0,Robo,Robo total,NO,NO,BELGRANO,13.0,-34.557413,-58.46236,1
55382,2022,NOVIEMBRE,DOMINGO,2022-11-06,18.0,Hurto,Hurto total,NO,NO,BOEDO,5.0,-34.629422,-58.420761,1
919854,2022,ENERO,VIERNES,2022-01-07,18.0,Lesiones,Lesiones Dolosas,NO,NO,VILLA LUGANO,8.0,-34.68631,-58.48314,1
10961,2022,ENERO,DOMINGO,2022-01-23,2.0,Hurto,Hurto total,NO,NO,BOEDO,5.0,-34.628292,-58.425957,1
47518,2022,OCTUBRE,JUEVES,2022-10-06,23.0,Hurto,Hurto total,NO,NO,LINIERS,9.0,-34.633653,-58.519508,1
106962,2022,MAYO,SABADO,2022-05-28,20.0,Robo,Robo total,NO,SI,VILLA DEVOTO,11.0,-34.61203,-58.51923,1
86823,2022,JUNIO,JUEVES,2022-06-30,16.0,Robo,Robo total,NO,NO,FLORES,7.0,-34.638733,-58.465788,1
877806,2022,DICIEMBRE,MARTES,2022-12-13,19.0,Vialidad,Lesiones por siniestros viales,NO,NO,VELEZ SARSFIELD,10.0,-34.630539,-58.493578,1
